team,team_tm_major,team_tm_minor,KBO_ID,TM_ID,NAME,POS,BackNum,engName,Birthday,Height,Weight,PitcherThrows,BatterSide,프로필변동,plyer_info_2022,팀변경
키움,KIW_HER,MIN_HER,52348,52348,박찬혁,OF,48,"Park, Chan Hyuk",20030425,180,87,Right,Right,X,,
키움,KIW_HER,MIN_HER,52392,52392,백진수,P,92,"Baek, Jin Soo",20030215,191,97,Right,Right,X,,
키움,KIW_HER,MIN_HER,62263,62263,변시원,P,66,"Byeon, Si Won",19930401,178,87,Right,Right,O,X,
키움,KIW_HER,MIN_HER,53307,53307,변헌성,C,7,"Byun, Heon Sung",20040518,181,91,Right,Right,O,X,
키움,KIW_HER,MIN_HER,53309,53309,서유신,IF,9,"Seo, Yu Sin",20000817,176,76,Right,Right,O,X,
키움,KIW_HER,MIN_HER,65357,65357,송성문,IF,24,"Song, Sung Mun",19960829,183,88,Right,Left,X,,
키움,KIW_HER,MIN_HER,53303,53303,송재선,OF,3,"Song, Jae Sun",20000630,177,73,Right,Right,O,X,
키움,KIW_HER,MIN_HER,52391,52391,송정인,P,59,"Song, Jung In",20030505,187,84,Right,Right,X,,
키움,KIW_HER,MIN_HER,50312,50312,신준우,IF,5,"Sin, Jun Woo",20010621,176,80,Right,Right,X,,
키움,KIW_HER,MIN_HER,53308,53308,안겸,C,8,"An, Kyum",20040615,181,83,Right,Right,O,X,
키움,KIW_HER,MIN_HER,68341,68341,안우진,P,41,"An, Woo Jin",19990830,192,90,Right,Right,X,,
키움,KIW_HER,MIN_HER,51305,51305,양경식,IF,38,"Yang, Kyung Sik",20010203,171,66,Right,Left,X,,
키움,KIW_HER,MIN_HER,67365,67365,양지율,P,55,"Yang, Ji Yul",19981216,184,103,Right,Right,X,,
키움,KIW_HER,MIN_HER,61268,61268,양현,P,39,"Yang, Hyun",19920823,189,104,Right,Right,X,,
키움,KIW_HER,MIN_HER,68330,68330,예진원,OF,53,"Ye, Jin Won",19990316,174,82,Left,Left,X,,
키움,KIW_HER,MIN_HER,53300,53300,오상원,P,0,"Oh, Sang Won",20040721,184,82,Right,Right,O,X,
키움,KIW_HER,MIN_HER,67360,67360,오윤성,P,40,"Oh, Yoon Sung",19981210,183,80,Right,Right,X,,
키움,KIW_HER,MIN_HER,69343,518852,요키시,P,43,"Jokisch, Eric",19890729,188,93,Left,Right,X,,
키움,KIW_HER,MIN_HER,53304,53304,우승원,IF,4,"Woo, Seung Won",20040608,178,77,Right,Right,O,X,
키움,KIW_HER,MIN_HER,76118,76118,원종현,P,46,"Won, Jong Hyan",19870731,182,88,Right,Right,O,,team change
키움,KIW_HER,MIN_HER,52395,52395,윤석원,P,95,"Yoon, Seok Won",20030704,184,81,Left,Left,X,,
키움,KIW_HER,MIN_HER,69399,69399,윤정현,P,99,"Yoon, Jung Hyun",19930517,186,100,Left,Left,X,,
