team,team_tm_major,team_tm_minor,KBO_ID,TM_ID,NAME,POS,BackNum,engName,Birthday,Height,Weight,PitcherThrows,BatterSide
LG,LG_TWI,MIN_LGT,51110,51110,이믿음,P,37,"Lee, Mit Eum",20000718,188,80,Right,Right
LG,LG_TWI,MIN_LGT,69168,69168,이상영,P,26,"Lee, Sang Yung",20001203,193,95,Left,Left
LG,LG_TWI,MIN_LGT,61145,61145,이우찬,P,21,"Lee, Woo Chan",19920804,185,97,Left,Left
LG,LG_TWI,MIN_LGT,68106,68106,이재원,OF,52,"Lee, Jae Won",19990717,192,105,Right,Right
LG,LG_TWI,MIN_LGT,50904,50904,이종준,P,40,"Lee, Jong Jun",20010309,191,93,Right,Right
LG,LG_TWI,MIN_LGT,69108,69108,이지강,P,50,"Lee, Ji Gang",19990702,183,85,Right,Right
LG,LG_TWI,MIN_LGT,54110,54110,이태겸,OF,110,"Lee, Taekyum",20010418,180,92,Right,Right
LG,LG_TWI,MIN_LGT,61101,61101,임찬규,P,1,"Im, Chan Kyu",19921120,185,80,Right,Right
LG,LG_TWI,MIN_LGT,67123,67123,전준호,C,32,"Jeon, Jun Ho",19980701,181,80,Right,Right
LG,LG_TWI,MIN_LGT,69159,69159,정우영,P,16,"Jung, Woo Young",19990819,193,99,Right,Right
LG,LG_TWI,MIN_LGT,54149,54149,정지헌,P,49,"Jung, Ji Heon",20031211,180,85,Right,Right
LG,LG_TWI,MIN_LGT,51163,51163,조건희,P,101,"Cho, Geon Hee",20020326,184,84,Left,Left
